firm_name,discovery_source,firm_type,type_evidence,website,hq_location,corporate_linkedin,signal_date,signal_type,reachability_score,record_status,rejection_reason,aum,aum__source,aum__method,aum__confidence,aum__epistemic,aum__asof,investing_thesis,investing_thesis__source,investing_thesis__method,investing_thesis__confidence,investing_thesis__epistemic,investing_thesis__asof,mandate,mandate__source,mandate__method,mandate__confidence,mandate__epistemic,mandate__asof,background,background__source,background__method,background__confidence,background__epistemic,background__asof,principal_name,principal_name__source,principal_name__method,principal_name__confidence,principal_name__epistemic,principal_name__asof,principal_title,principal_title__source,principal_title__method,principal_title__confidence,principal_title__epistemic,principal_title__asof,principal_linkedin,principal_linkedin__source,principal_linkedin__method,principal_linkedin__confidence,principal_linkedin__epistemic,principal_linkedin__asof,principal_email,principal_email__source,principal_email__method,principal_email__confidence,principal_email__epistemic,principal_email__asof,principal_phone,principal_phone__source,principal_phone__method,principal_phone__confidence,principal_phone__epistemic,principal_phone__asof,recent_signal,recent_signal__source,recent_signal__method,recent_signal__confidence,recent_signal__epistemic,recent_signal__asof
DFO Management,Wikidata (P31: family office),Unconfirmed,Wikidata classifies this entity as a family office (instance of Q751314 'family office'); single- vs multi-family split unproven,https://www.dellfamilyoffice.com,,https://www.linkedin.com/company/msd-capital,"Tue, 24 Feb 2026",news,90,Qualified,,,,,,,,"MSD Capital, L.P. Established in 1998, exclusively manages the assets of Michael S. Dell and his family. MSD Capital utilizes a multi-disciplinary investment strategy focused on maximizing long-term capital appreciation by making investments across the globe in the equities of public and private com",https://www.dellfamilyoffice.com,site copy (investing language),Low,inference,,,,,,,,"DFO Management - Welcome About DFO Leadership Michael Dell Contacts About DFO Leadership Michael Dell Contacts DFO Management Learn More MSD Capital, L.P. Established in 1998, exclusively manages the assets of Michael S. Dell and his family. MSD Capital utilizes a multi-disciplinary investment strategy focused on maximizing long-term capital appreciation by making investments across the globe in t",https://www.dellfamilyoffice.com,site homepage / meta description,Medium,fact,,,,,,,,,,,,,,,,,,,,inquiries@dellfamilyoffice.com,https://www.dellfamilyoffice.com,MX record present (domain accepts mail),Medium,inference,2026-07-28,(212) 303-1650,https://www.dellfamilyoffice.com,scraped from site (unverified),Low,inference,,"Snow crab in N.L. could reach 'historic lows' by 2028, reports DFO - CBC",https://news.google.com/rss/articles/CBMijwFBVV95cUxNam04X0xZLU82TjByc0JzLUhwVTcxWEo4dWdVbDV4anJxTEdwQm45cU0yUi1RNXE1QmpmMjExT2MzVTZTUF9WSzJEZUh1ejlCbUl4YnBKSDhCalAwMlM1SHZKX19waVVnVlRmdlEyb0JMTXFvdHJLU2QySkpOXzRCNVJXcXFreC15Y0l4Y0tVWQ?oc=5,targeted news query,Low,inference,"Tue, 24 Feb 2026"
"Stenger Family Office, Llc",SEC CIK registry (entity names),Unconfirmed,"files SEC 13F-HR as 'Stenger Family Office, Llc' (SEC 13F-HR 2026-07-13 (CIK 0002056106)); single- vs multi-family unproven",https://stengerfamilyoffice.com,"NAPERVILLE FINANCIAL CENTER, 400 EAST DIEHL RD, SUITE 550, NAPERVILLE, IL, 60563",,"Wed, 22 Jul 2026",news,80,Qualified,,$629.4M (13F portfolio value),https://www.sec.gov/Archives/edgar/data/2056106/000208585326000698/primary_doc.xml,"13F tableValueTotal — US-listed equities only, not full AUM",High,fact,2026-07-13,,,,,,,,,,,,,,,,,,,Julia Patricia Foran,https://www.sec.gov/Archives/edgar/data/2056106/000208585326000698/primary_doc.xml,13F signature block,High,fact,2026-07-13,"Vice President, Operations",https://www.sec.gov/Archives/edgar/data/2056106/000208585326000698/primary_doc.xml,13F signature block,High,fact,2026-07-13,,,,,,,nick.stenger@stengerfamilyoffice.com,https://stengerfamilyoffice.com,MX record present (domain accepts mail),Medium,inference,2026-07-28,630-912-8295,SEC EDGAR submissions CIK 0002056106,official SEC filing (business phone),High,fact,2026-07-13,Stenger Family Office LLC Has $28.84 Million Holdings in Microsoft Corporation $MSFT - MarketBeat,https://news.google.com/rss/articles/CBMi2gFBVV95cUxQcEd4UEw5VkZiVEt5a1lCQnl5NTdxNFVWUDVad0N4ODFySUtCZUFOcnhaSHhLN2lodVA2T1BGQnN5RlZOWXFoYnpDdVY1bkd0bGZ5c25jaW01Mk96NnVzN2hkMVB0Q3UxMEhBdUtZMjBNU1BPS3p1aENKQUJxSUdtYklGQVFQcGQ0TjdhUmYtYzU3cURLZzBrc0pvZ0tGMXhqZm94cGlHS1BTbWc4eVd3YkhVYzNkLTlhYlBnV2FDQXhDd0pwVFpZV0I4bWItVlNFNGFPNjlxR1BMQQ?oc=5,targeted news query,Low,inference,"Wed, 22 Jul 2026"
"Fiduciary Family Office, Llc",SEC CIK registry (entity names),Unconfirmed,"files SEC 13F-HR as 'Fiduciary Family Office, Llc' (SEC 13F-HR 2026-05-14 (CIK 0002020280)); single- vs multi-family unproven",https://fiduciaryfo.com,"150 EAST PALMETTO PARK ROAD, SUITE 301, BOCA RATON, FL, 33432",,"Fri, 21 Nov 2025",news,80,Qualified,,$350.8M (13F portfolio value),https://www.sec.gov/Archives/edgar/data/2020280/000117266126001820/primary_doc.xml,"13F tableValueTotal — US-listed equities only, not full AUM",High,fact,2026-05-14,,,,,,,,,,,,,,,,,,,,,,,,,Chief Compliance Officer,https://www.sec.gov/Archives/edgar/data/2020280/000117266126001820/primary_doc.xml,13F signature block,High,fact,2026-05-14,,,,,,,admin@fiduciaryfo.com,https://fiduciaryfo.com,MX record present (domain accepts mail),Medium,inference,2026-07-28,(561) 353-4440,SEC EDGAR submissions CIK 0002020280,official SEC filing (business phone),High,fact,2026-05-14,"Fiduciary Family Office, LLC - bocaratonobserver.com",https://news.google.com/rss/articles/CBMidkFVX3lxTE5hMDdCbHRNSXhyNENZbmZNbWJxTGEtMjdOWTY3M3VVaThfMXdtRVBUeTZpaWZEMFdBLU9wbENsN3BHRnhkQXRUOUxKeFF5TmZsY2VPTXM2MXJiYkxqLTZrZnFETnVLTVVnYnh1VUFub0dMTHRYbUHSAYABQVVfeXFMUGhUTnRRSnk3T2c4YWM0eGUyQnowS2R6cEI0SjZpMGFXd3VVZ0RqdklEZFhacEtLYjRnV0ZPam9mVmwzN0FCUWlydTVkS0Q0S0N5b1VjaEpzOUgzUHV2UzNSNzRwYTRQRGE2M202ZlNuN2RrY3Nkc3ptWkIxc055S2s?oc=5,targeted news query,Low,inference,"Fri, 21 Nov 2025"
Deutsche Oppenheim Family Office Ag,SEC CIK registry (entity names),MFO,"bank/wirehouse-affiliated SEC-registered family office (CIK 0001759113, verified filing address/phone)",https://deutsche-oppenheim.de,"11 OPPENHEIM STREET, COLOGNE, 2M, 50668",,"Thu, 16 Apr 2026",news,80,Qualified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,info@deutsche-oppenheim.de,https://deutsche-oppenheim.de,MX record present (domain accepts mail),Medium,inference,2026-07-28,49221577720,SEC EDGAR submissions CIK 0001759113,official SEC filing (business phone),High,fact,2026-05-06,Deutsche Bank expands and strengthens its ultra-high net worth coverage - Deutsche Bank AG,https://news.google.com/rss/articles/CBMiwwFBVV95cUxNd0M0eWdIeE5xMHczWTd0bEsxaDFLWm05aUFEZ2lRMGUtMks3UmJUYmVhWDM0UDB4T2xTQkZKcGJHTUF0YVNjaFgxRGozamtNT2FiT0ZobmZ2WHNEMHNtclNzVEJIbGRqcnFQcEVqZFFVUVY4OHN2R0FNcW5FUU9lMW5iMzRMQTByMEVpbWNwS3YyUG0tX2I2ME1aNzQ5b0JvODdtZElSZFk3UjlTOWMyQURNQjExVFB6TldjRTlpa1dmQVk?oc=5,targeted news query,Low,inference,"Thu, 16 Apr 2026"
Aurelius Family Office Llc,SEC CIK registry (entity names),Unconfirmed,files SEC 13F-HR as 'Aurelius Family Office Llc' (SEC 13F-HR 2026-07-13 (CIK 0002053738)); single- vs multi-family unproven,https://aurelius.net,"3 EXECUTIVE PARK DR, SUITE 261, BEDFORD, NH, 03110",,,,55,Qualified,,$253.9M (13F portfolio value),https://www.sec.gov/Archives/edgar/data/2053738/000205373826000003/primary_doc.xml,"13F tableValueTotal — US-listed equities only, not full AUM",High,fact,2026-07-13,,,,,,,,,,,,,,,,,,,Brenda Winslow,https://www.sec.gov/Archives/edgar/data/2053738/000205373826000003/primary_doc.xml,13F signature block,High,fact,2026-07-13,Chief Compliance Officer,https://www.sec.gov/Archives/edgar/data/2053738/000205373826000003/primary_doc.xml,13F signature block,High,fact,2026-07-13,,,,,,,info@aurelius.net,https://aurelius.net,MX record present (domain accepts mail),Medium,inference,2026-07-28,6036028550,SEC EDGAR submissions CIK 0002053738,official SEC filing (business phone),High,fact,2026-07-13,,,,,,
"Cambient Family Office, Llc",SEC CIK registry (entity names),Unconfirmed,"files SEC 13F-HR as 'Cambient Family Office, Llc' (SEC 13F-HR 2026-04-21 (CIK 0002105684)); single- vs multi-family unproven",https://cambient.com,"4690 FULTON STREET E, SUITE 203, ADA, MI, 49301",,,,55,Qualified,,$716.4M (13F portfolio value),https://www.sec.gov/Archives/edgar/data/2105684/000139834426006785/primary_doc.xml,"13F tableValueTotal — US-listed equities only, not full AUM",High,fact,2026-04-21,,,,,,,,,,,,,,,,,,,Josh Gibbs,https://www.sec.gov/Archives/edgar/data/2105684/000139834426006785/primary_doc.xml,13F signature block,High,fact,2026-04-21,"Trust Advisor, Chief Compliance Officer",https://www.sec.gov/Archives/edgar/data/2105684/000139834426006785/primary_doc.xml,13F signature block,High,fact,2026-04-21,,,,,,,info@cambient.com,https://cambient.com,MX record present (domain accepts mail),Medium,inference,2026-07-28,(616) 330-2270,SEC EDGAR submissions CIK 0002105684,official SEC filing (business phone),High,fact,2026-04-21,,,,,,
"Independent Family Office, Llc",SEC CIK registry (entity names),Unconfirmed,"files SEC 13F-HR as 'Independent Family Office, Llc' (SEC 13F-HR 2026-05-15 (CIK 0001756485)); single- vs multi-family unproven",https://ifollc.com,"677 BROADWAY, 7TH FLOOR, ALBANY, NY, 12207",,,,55,Qualified,,$243.0M (13F portfolio value),https://www.sec.gov/Archives/edgar/data/1756485/000195175726000873/primary_doc.xml,"13F tableValueTotal — US-listed equities only, not full AUM",High,fact,2026-05-15,,,,,,,,,,,,,,,,,,,William Reickert,https://www.sec.gov/Archives/edgar/data/1756485/000195175726000873/primary_doc.xml,13F signature block,High,fact,2026-05-15,Chief Compliance Officer,https://www.sec.gov/Archives/edgar/data/1756485/000195175726000873/primary_doc.xml,13F signature block,High,fact,2026-05-15,,,,,,,dr@ifollc.com,https://ifollc.com,MX record present (domain accepts mail),Medium,inference,2026-07-28,(518) 452-8050,SEC EDGAR submissions CIK 0001756485,official SEC filing (business phone),High,fact,2026-05-15,,,,,,
"PATHSTONE FAMILY OFFICE, LLC",SEC EDGAR full-text search,Unconfirmed,"files SEC 13F-HR as 'PATHSTONE FAMILY OFFICE, LLC' (SEC 13F-HR 2024-01-16 (CIK 0001511137)); single- vs multi-family unproven",https://pathstone.com,"10 STERLING BLVD, SUITE 402, ENGLEWOOD, NJ, 07631",,"Fri, 27 Feb 2026",news,50,Qualified,,$7.03B (13F portfolio value),https://www.sec.gov/Archives/edgar/data/1511137/000108514624000248/primary_doc.xml,"13F tableValueTotal — US-listed equities only, not full AUM",High,fact,2024-01-16,,,,,,,,,,,,,,,,,,,Lisandra Wilmott,https://www.sec.gov/Archives/edgar/data/1511137/000108514624000248/primary_doc.xml,13F signature block,High,fact,2024-01-16,General Counsel &amp; CCO,https://www.sec.gov/Archives/edgar/data/1511137/000108514624000248/primary_doc.xml,13F signature block,High,fact,2024-01-16,,,,,,,,,,,,,201-731-7112,SEC EDGAR submissions CIK 0001511137,official SEC filing (business phone),High,fact,2026-05-11,ShinyHunters Strikes Pathstone Family Office in Major Ransomware Attack - DeXpose,https://news.google.com/rss/articles/CBMimwFBVV95cUxPMG5VZTRWY1VHdkxNOVY3OHR5LW0yQnNYN2VPSDREUWhXNXJVTHJNSUhfUng0bEhNcEgwcGtLeGsyZWNFdzJlaDFBX18wUzhlSGVkbnE2WWlHdWFQSXJCS2tQMkNRUGI1OU5nOWxVTUtONkZKaUtKT3RnRC1zUUY3ay1NcG00YmgyczJ2RmlhbVB2UFRTMGZnWDR0cw?oc=5,targeted news query,Low,inference,"Fri, 27 Feb 2026"
"Arrowroot Family Office, Llc",SEC CIK registry (entity names),Unconfirmed,"files SEC 13F-HR as 'Arrowroot Family Office, Llc' (SEC 13F-HR 2026-05-15 (CIK 0002017744)); single- vs multi-family unproven",https://arrowrootfamilyoffice.com,"4553 GLENCOE AVENUE, SUITE 200, MARINA DEL REY, CA, 90292",,"Tue, 14 Jul 2026",news,50,Qualified,,$302.5M (13F portfolio value),https://www.sec.gov/Archives/edgar/data/2017744/000142050626001082/primary_doc.xml,"13F tableValueTotal — US-listed equities only, not full AUM",High,fact,2026-05-15,,,,,,,,,,,,,,,,,,,Roberto Santos,https://www.sec.gov/Archives/edgar/data/2017744/000142050626001082/primary_doc.xml,13F signature block,High,fact,2026-05-15,CEO,https://www.sec.gov/Archives/edgar/data/2017744/000142050626001082/primary_doc.xml,13F signature block,High,fact,2026-05-15,,,,,,,,,,,,,310.341.4774,SEC EDGAR submissions CIK 0002017744,official SEC filing (business phone),High,fact,2026-05-15,"Arrowroot Family Office, LLC's iShares U.S. Treasury Bond ETF(GOVT) Holding History - GuruFocus",https://news.google.com/rss/articles/CBMihwFBVV95cUxQdzloS3pOS1RwMFRYMmotX1lOSHQwXzlialdKR0t6UG05VDNfVldMR21KZWdBV0pCUEV4eEp4cjdJYzdjQXBIWmhEcG9MZk5wY1hOLWMyTF9zOE5QM0IyMXg3LTdKaVlZeDE1SU1ONlhQY2MydEZzVG14c1piQk5tcW00SVdYZkk?oc=5,targeted news query,Low,inference,"Tue, 14 Jul 2026"
"Fortitude Family Office, Llc",SEC CIK registry (entity names),Unconfirmed,"files SEC 13F-HR as 'Fortitude Family Office, Llc' (SEC 13F-HR 2026-07-20 (CIK 0001950506)); single- vs multi-family unproven",https://fortitudefo.com,"7500 N DOBSON RD, SUITE 151, SCOTTSDALE, AZ, 85256",,"Sun, 26 Jul 2026",news,50,Qualified,,$516.0M (13F portfolio value),https://www.sec.gov/Archives/edgar/data/1950506/000195050626000004/primary_doc.xml,"13F tableValueTotal — US-listed equities only, not full AUM",High,fact,2026-07-20,,,,,,,,,,,,,,,,,,,Drew Phillips,https://www.sec.gov/Archives/edgar/data/1950506/000195050626000004/primary_doc.xml,13F signature block,High,fact,2026-07-20,COO,https://www.sec.gov/Archives/edgar/data/1950506/000195050626000004/primary_doc.xml,13F signature block,High,fact,2026-07-20,,,,,,,,,,,,,602-834-0089,SEC EDGAR submissions CIK 0001950506,official SEC filing (business phone),High,fact,2026-07-20,"Fortitude Family Office, LLC's Avantis Total Equity Markets(AVTM) Holding History - GuruFocus",https://news.google.com/rss/articles/CBMihwFBVV95cUxQTlZLRUVod3Z0ZzJ0VjM5Z0xIOE5iM3pKNnVVMGlxdjdjWkM1QzExOGxpLVVJb3RGQnRuYjBPMVc2WTEta21SQ2JXMDRlbEtTVGFnVjdtc2V1V0t3eWkyOUNIaGw5ZlNBanRwVjZzaG9TTjlzU08zanhQcE52M19VRHM3OXBqU0E?oc=5,targeted news query,Low,inference,"Sun, 26 Jul 2026"
