firm_name,discovery_source,firm_type,type_evidence,category,proof_exists,proof_function_source,proof_function_quote,proof_type_quote,entity_coherent,counts_toward_500,is_commercial,website,hq_location,corporate_linkedin,signal_date,signal_type,reachability_score,record_status,rejection_reason,aum,aum__source,aum__method,aum__confidence,aum__epistemic,aum__asof,aum__status,aum__route,investing_thesis,investing_thesis__source,investing_thesis__method,investing_thesis__confidence,investing_thesis__epistemic,investing_thesis__asof,investing_thesis__status,investing_thesis__route,mandate,mandate__source,mandate__method,mandate__confidence,mandate__epistemic,mandate__asof,mandate__status,mandate__route,background,background__source,background__method,background__confidence,background__epistemic,background__asof,background__status,background__route,principal_name,principal_name__source,principal_name__method,principal_name__confidence,principal_name__epistemic,principal_name__asof,principal_name__status,principal_name__route,principal_title,principal_title__source,principal_title__method,principal_title__confidence,principal_title__epistemic,principal_title__asof,principal_title__status,principal_title__route,principal_linkedin,principal_linkedin__source,principal_linkedin__method,principal_linkedin__confidence,principal_linkedin__epistemic,principal_linkedin__asof,principal_linkedin__status,principal_linkedin__route,principal_email,principal_email__source,principal_email__method,principal_email__confidence,principal_email__epistemic,principal_email__asof,principal_email__status,principal_email__route,principal_phone,principal_phone__source,principal_phone__method,principal_phone__confidence,principal_phone__epistemic,principal_phone__asof,principal_phone__status,principal_phone__route,recent_signal,recent_signal__source,recent_signal__method,recent_signal__confidence,recent_signal__epistemic,recent_signal__asof,recent_signal__status,recent_signal__route
SENESCHAL FAMILY OFFICE,SEC Form ADV (registered adviser roster),MFO,"own-source multi-family statement: ""Our advice is objective and delivered at the elite standard of fiduciary multi-family office services.""",MFO,SEC-registered investment adviser (CRD 131618); Form ADV filed 03/27/2026,https://SENESCHALFAMILYOFFICE.COM,Our advice is objective and delivered at the elite standard of fiduciary multi-family office services.,Our advice is objective and delivered at the elite standard of fiduciary multi-family office services.,True,True,False,https://SENESCHALFAMILYOFFICE.COM,"TACOMA, WA",,,,25,Qualified,,,,,,,,unresolved,,,,,,,,unresolved,,,,,,,,unresolved,,Reports high-net-worth individual clients on its own Form ADV (Item 5.D(b)).,SEC Form ADV (CRD 131618),Form ADV Item 5.D,Medium,fact,,verified,,,,,,,,unresolved,,,,,,,,unresolved,,,,,,,,unresolved,,,,,,,,unresolved,,(253) 460-3430,SEC Form ADV (CRD 131618),main-office telephone from the firm's own Form ADV,High,fact,,verified,firm-level,,,,,,,unresolved,
TFO FAMILY OFFICE PARTNERS,SEC Form ADV (registered adviser roster),Unconfirmed,"FO-function proven (""TFO Family Office Partners mission is empowering families to thrive by Connecting Wealth and Purpose ® .""); single- vs multi-family unproven",FO-type-unknown,SEC-registered investment adviser (CRD 159440); Form ADV filed 03/27/2026,http://www.tfopartners.com,TFO Family Office Partners mission is empowering families to thrive by Connecting Wealth and Purpose ® .,"TFO Partners is a family of wealth management, family office, and trust services firms committed to doing more for individuals, families, and closely-held businesses.",True,True,False,http://www.tfopartners.com,"PHOENIX, AZ",,,,25,Qualified,,,,,,,,unresolved,,,,,,,,unresolved,,,,,,,,unresolved,,Reports high-net-worth individual clients on its own Form ADV (Item 5.D(b)).,SEC Form ADV (CRD 159440),Form ADV Item 5.D,Medium,fact,,verified,,,,,,,,unresolved,,,,,,,,unresolved,,,,,,,,unresolved,,,,,,,,unresolved,,602-466-2611,SEC Form ADV (CRD 159440),main-office telephone from the firm's own Form ADV,High,fact,,verified,firm-level,,,,,,,unresolved,
"COLONY FAMILY OFFICES, LLC",SEC Form ADV (registered adviser roster),MFO,"own-source multi-family statement: ""Colony Family Offices is an independent, multi-family office providing fully integrated wealth planning , investment management and fiduciary services to individuals and families of wealth.""",MFO,SEC-registered investment adviser (CRD 167017); Form ADV filed 02/25/2026,http://WWW.COLONYFAMILYOFFICES.COM,"Colony Family Offices is an independent, multi-family office providing fully integrated wealth planning , investment management and fiduciary services to individuals and families of wealth.","Colony Family Offices is an independent, multi-family office providing fully integrated wealth planning , investment management and fiduciary services to individuals and families of wealth.",True,True,False,http://WWW.COLONYFAMILYOFFICES.COM,"CHARLOTTE, NC",,,,25,Qualified,,,,,,,,unresolved,,,,,,,,unresolved,,,,,,,,unresolved,,Reports high-net-worth individual clients on its own Form ADV (Item 5.D(b)).,SEC Form ADV (CRD 167017),Form ADV Item 5.D,Medium,fact,,verified,,,,,,,,unresolved,,,,,,,,unresolved,,,,,,,,unresolved,,,,,,,,unresolved,,704-285-7300,SEC Form ADV (CRD 167017),main-office telephone from the firm's own Form ADV,High,fact,,verified,firm-level,,,,,,,unresolved,
"BILTMORE FAMILY OFFICE, LLC",SEC Form ADV (registered adviser roster),MFO,"own-source multi-family statement: ""Some call it a Multi-Family Office.""",MFO,SEC-registered investment adviser (CRD 167174); Form ADV filed 03/23/2026,http://WWW.BILTMOREFAMILYOFFICE.COM,"We serve families seeking a more collaborative level of investing, planning, and education than the traditional Wall Street firm,",Some call it a Multi-Family Office.,True,True,False,http://WWW.BILTMOREFAMILYOFFICE.COM,"CHARLOTTE, NC",,,,35,Qualified,,,,,,,,unresolved,,,,,,,,unresolved,,,,,,,,unresolved,,Reports high-net-worth individual clients on its own Form ADV (Item 5.D(b)).,SEC Form ADV (CRD 167174),Form ADV Item 5.D,Medium,fact,,verified,,Chris Cecil,http://WWW.BILTMOREFAMILYOFFICE.COM,named on the firm's own website (team/about page),High,fact,,verified,,Partner CEO,http://WWW.BILTMOREFAMILYOFFICE.COM,title on the firm's own website,High,fact,,verified,,,,,,,,unresolved,,,,,,,,unresolved,,704-248-5230,SEC Form ADV (CRD 167174),main-office telephone from the firm's own Form ADV,High,fact,,verified,firm-level,,,,,,,unresolved,
"RIVERGLADES FAMILY OFFICES, LLC",SEC Form ADV (registered adviser roster),Unconfirmed,"FO-function proven (""Borrowing lessons from successful family offices, it took time to bring these ideas together under a refined process.""); single- vs multi-family unproven",FO-type-unknown,SEC-registered investment adviser (CRD 171584); Form ADV filed 03/19/2026,http://WWW.RIVERGLADESFO.COM,"Borrowing lessons from successful family offices, it took time to bring these ideas together under a refined process.","Having developed a network of like-minded families and similarly motivated individuals , we enable each to receive the service they expect while leveraging the intellectual capital and collective experiences of the group.",True,True,False,http://WWW.RIVERGLADESFO.COM,"NAPLES, FL",,,,35,Qualified,,,,,,,,unresolved,,,,,,,,unresolved,,,,,,,,unresolved,,Reports high-net-worth individual clients on its own Form ADV (Item 5.D(b)).,SEC Form ADV (CRD 171584),Form ADV Item 5.D,Medium,fact,,verified,,Paul J. Marinelli,http://WWW.RIVERGLADESFO.COM,named on the firm's own website (team/about page),High,fact,,verified,,FOUNDER AND PRESIDENT,http://WWW.RIVERGLADESFO.COM,title on the firm's own website,High,fact,,verified,,,,,,,,unresolved,,,,,,,,unresolved,,(239) 263-4079,SEC Form ADV (CRD 171584),main-office telephone from the firm's own Form ADV,High,fact,,verified,firm-level,,,,,,,unresolved,
"TRED AVON FAMILY WEALTH, LLC",SEC Form ADV (registered adviser roster),Unconfirmed,"FO-function proven (""An independent family office coordinating every part of a family's financial life: wealth management, estate strategy, record keeping, philanthropy, and the daily work of stewardship.""); single- vs multi-family unproven",FO-type-unknown,SEC-registered investment adviser (CRD 174115); Form ADV filed 03/27/2026,https://WWW.TREDAVONFAMILYWEALTH.COM,"An independent family office coordinating every part of a family's financial life: wealth management, estate strategy, record keeping, philanthropy, and the daily work of stewardship.",We work with a deliberately small number of families.,True,True,False,https://WWW.TREDAVONFAMILYWEALTH.COM,"EASTON, MD",,,,25,Qualified,,,,,,,,unresolved,,,,,,,,unresolved,,,,,,,,unresolved,,Reports high-net-worth individual clients on its own Form ADV (Item 5.D(b)).,SEC Form ADV (CRD 174115),Form ADV Item 5.D,Medium,fact,,verified,,,,,,,,unresolved,,,,,,,,unresolved,,,,,,,,unresolved,,,,,,,,unresolved,,410-310-2064,SEC Form ADV (CRD 174115),main-office telephone from the firm's own Form ADV,High,fact,,verified,firm-level,,,,,,,unresolved,
EAGLE BAY FAMILY OFFICE,SEC Form ADV (registered adviser roster),Unconfirmed,"FO-function proven (""Eagle Bay Family Office delivers comprehensive family office and investment advisory services for wealthy families, with a particular focus on governance, judgment, and the integration of financial, legal, and advisory considerations across generations.""); single- vs multi-family unproven",FO-type-unknown,"SEC-registered investment adviser (CRD 281675, CIK 1862864); Form ADV filed 04/15/2026",https://www.eaglebayfamilyoffice.com,"Eagle Bay Family Office delivers comprehensive family office and investment advisory services for wealthy families, with a particular focus on governance, judgment, and the integration of financial, legal, and advisory considerations across generations.","Eagle Bay Family Office, an independent advisory firm serving wealthy families nationwide.",True,True,False,https://www.eaglebayfamilyoffice.com,"NEW YORK, NY",,,,35,Qualified,,,,,,,,unresolved,,,,,,,,unresolved,,,,,,,,unresolved,,Reports high-net-worth individual clients on its own Form ADV (Item 5.D(b)).,SEC Form ADV (CRD 281675),Form ADV Item 5.D,Medium,fact,,verified,,Michael D. Nelson,https://www.eaglebayfamilyoffice.com,named on the firm's own website (team/about page),High,fact,,verified,,MANAGING PARTNER,https://www.eaglebayfamilyoffice.com,title on the firm's own website,High,fact,,verified,,,,,,,,unresolved,,,,,,,,unresolved,,212-634-7879,SEC Form ADV (CRD 281675),main-office telephone from the firm's own Form ADV,High,fact,,verified,firm-level,,,,,,,unresolved,
"COMPOUND FAMILY OFFICES, LLC",SEC Form ADV (registered adviser roster),Unconfirmed,"FO-function proven (""As a fiduciary, we provide independent, objective advice.""); single- vs multi-family unproven",FO-type-unknown,SEC-registered investment adviser (CRD 298776); Form ADV filed 04/23/2026,https://www.compoundfamilyoffices.com,"As a fiduciary, we provide independent, objective advice.",Core Focus on Families of Significant Wealth Our firm is dedicated to serving ultra wealthy families.,True,True,False,https://www.compoundfamilyoffices.com,"SARASOTA, FL",,,,25,Qualified,,,,,,,,unresolved,,,,,,,,unresolved,,,,,,,,unresolved,,Reports high-net-worth individual clients on its own Form ADV (Item 5.D(b)).,SEC Form ADV (CRD 298776),Form ADV Item 5.D,Medium,fact,,verified,,,,,,,,unresolved,,,,,,,,unresolved,,,,,,,,unresolved,,,,,,,,unresolved,,(941) 556-9294,SEC Form ADV (CRD 298776),main-office telephone from the firm's own Form ADV,High,fact,,verified,firm-level,,,,,,,unresolved,
FORTHRIGHT FAMILY WEALTH ADVISORY LLC,SEC Form ADV (registered adviser roster),MFO,"own-source multi-family statement: ""Our clients work hard and thrive. They’re prosperous across their professional career, wherein they create their wealth.""",MFO,SEC-registered investment adviser (CRD 304547); Form ADV filed 03/31/2026,https://www.forthrightwealth.com,We Serve as the Chief Financial Officer to Families.,"Our clients work hard and thrive. They’re prosperous across their professional career, wherein they create their wealth.",True,True,False,https://www.forthrightwealth.com,"HOUSTON, TX",,,,35,Qualified,,,,,,,,unresolved,,,,,,,,unresolved,,,,,,,,unresolved,,Reports high-net-worth individual clients on its own Form ADV (Item 5.D(b)).,SEC Form ADV (CRD 304547),Form ADV Item 5.D,Medium,fact,,verified,,Neal D. Carlson,https://www.forthrightwealth.com,named on the firm's own website (team/about page),High,fact,,verified,,"Founder, Managing Director",https://www.forthrightwealth.com,title on the firm's own website,High,fact,,verified,,,,,,,,unresolved,,,,,,,,unresolved,,713-510-3510,SEC Form ADV (CRD 304547),main-office telephone from the firm's own Form ADV,High,fact,,verified,firm-level,,,,,,,unresolved,
"ALPHA CAPITAL FAMILY OFFICE, LLC",SEC Form ADV (registered adviser roster),MFO,"own-source multi-family statement: ""Our clients come from a diverse array of backgrounds – professionally and personally.""",MFO,SEC-registered investment adviser (CRD 307521); Form ADV filed 04/30/2026,https://acfamilyoffice.com,AC Family Office is an outsourced family office with more than 250+ years of collective experience serving a limited number of families.,Our clients come from a diverse array of backgrounds – professionally and personally.,True,True,False,https://acfamilyoffice.com,"GREENWOOD VILLAGE, CO",,,,35,Qualified,,,,,,,,unresolved,,,,,,,,unresolved,,,,,,,,unresolved,,Reports high-net-worth individual clients on its own Form ADV (Item 5.D(b)).,SEC Form ADV (CRD 307521),Form ADV Item 5.D,Medium,fact,,verified,,Maxwell Smith,https://acfamilyoffice.com,named on the firm's own website (team/about page),High,fact,,verified,,"President, CFO Partner",https://acfamilyoffice.com,title on the firm's own website,High,fact,,verified,,,,,,,,unresolved,,,,,,,,unresolved,,303-900-0185,SEC Form ADV (CRD 307521),main-office telephone from the firm's own Form ADV,High,fact,,verified,firm-level,,,,,,,unresolved,
