firm_name,discovery_source,firm_type,type_evidence,website,hq_location,corporate_linkedin,signal_date,signal_type,reachability_score,record_status,rejection_reason,aum,aum__source,aum__method,aum__confidence,aum__epistemic,aum__asof,investing_thesis,investing_thesis__source,investing_thesis__method,investing_thesis__confidence,investing_thesis__epistemic,investing_thesis__asof,mandate,mandate__source,mandate__method,mandate__confidence,mandate__epistemic,mandate__asof,background,background__source,background__method,background__confidence,background__epistemic,background__asof,principal_name,principal_name__source,principal_name__method,principal_name__confidence,principal_name__epistemic,principal_name__asof,principal_title,principal_title__source,principal_title__method,principal_title__confidence,principal_title__epistemic,principal_title__asof,principal_linkedin,principal_linkedin__source,principal_linkedin__method,principal_linkedin__confidence,principal_linkedin__epistemic,principal_linkedin__asof,principal_email,principal_email__source,principal_email__method,principal_email__confidence,principal_email__epistemic,principal_email__asof,principal_phone,principal_phone__source,principal_phone__method,principal_phone__confidence,principal_phone__epistemic,principal_phone__asof,recent_signal,recent_signal__source,recent_signal__method,recent_signal__confidence,recent_signal__epistemic,recent_signal__asof
"Bmo Family Office, Llc",SEC CIK registry (entity names),MFO,"bank/wirehouse-affiliated SEC-registered family office (CIK 0001673962, verified filing address/phone)",http://www.bmo.com,"2191 E. BAYSHORE RD., SUITE 200, PALO ALTO, CA, 94303",,,,25,Qualified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650-210-5000,SEC EDGAR submissions CIK 0001673962,official SEC filing (business phone),High,fact,2026-07-01,,,,,,
White Knight Family Office Llc,SEC CIK registry (entity names),Unconfirmed,SEC-registered operating entity (CIK 0001809107) with verified filing address/phone; single- vs multi-family split unproven,https://wk-companies.com,"6931 CHESHIRE LANE, SAINT LOUIS, MO, 63123",,,,25,Qualified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3149130382,SEC EDGAR submissions CIK 0001809107,official SEC filing (business phone),High,fact,2020-04-13,,,,,,
EUROPEAN FAMILY OFFICE INSTITUTE LLC.,SEC EDGAR full-text search,Unconfirmed,SEC-registered operating entity (CIK 0001690834) with verified filing address/phone; single- vs multi-family split unproven,,"2299 NW 4TH AVE, BOCA RATON, FL, 33431",,,,25,Qualified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561-715-1231,SEC EDGAR submissions CIK 0001690834,official SEC filing (business phone),High,fact,2026-04-01,,,,,,
"Wilshire Private Markets Family Office Fund II, L.P.",SEC EDGAR full-text search,Unconfirmed,SEC-registered operating entity (CIK 0001634667) with verified filing address/phone; single- vs multi-family split unproven,,"C/O WILSHIRE ASSOCIATES INCORPORATED LLC, 1299 OCEAN AVENUE, SUITE 700, SANTA MONICA, CA, 90401-1085",,,,25,Qualified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310-451-3051,SEC EDGAR submissions CIK 0001634667,official SEC filing (business phone),High,fact,2026-02-12,,,,,,
"Wilshire Private Markets Real Estate Family Office Fund I, L.P.",SEC EDGAR full-text search,Unconfirmed,SEC-registered operating entity (CIK 0001581864) with verified filing address/phone; single- vs multi-family split unproven,,"1299 OCEAN AVENUE, SUITE 700, SANTA MONICA, CA, 90401-1085",,,,25,Qualified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(310) 451-3051,SEC EDGAR submissions CIK 0001581864,official SEC filing (business phone),High,fact,2026-02-12,,,,,,
"Wilshire Private Markets Family Office Fund IV, L.P.",SEC EDGAR full-text search,Unconfirmed,SEC-registered operating entity (CIK 0001784999) with verified filing address/phone; single- vs multi-family split unproven,,"1299 OCEAN AVENUE, SUITE 700, SANTA MONICA, CA, 90401",,,,25,Qualified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310-451-3051,SEC EDGAR submissions CIK 0001784999,official SEC filing (business phone),High,fact,2026-02-12,,,,,,
Creo Family Office Syndicate,ProPublica Nonprofit Explorer (Form 990),Unconfirmed,described as family office in gathered text; SFO/MFO split unproven,,"New York, NY",,"Fri, 12 Apr 2019",news,25,Qualified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CREO Syndicate brings unique model to family office space - Buyouts,https://news.google.com/rss/articles/CBMikwFBVV95cUxObHBmX3B6cFV4bEwxOGhRZWdTbk9HYkRQLUhqNnJPZjF6V2ptN28xRFQ3M3ZndjNoNzN1YU1TeldMZjFZYzQ4SGdsa09kR1Bld2dPYzBWRkdyZ19VV1Y2dGNWX2h2MlA5X1ZrLTQ2MkJPS3Z1dl8xNVVYellFa3lldmxMWHJRSzV4UFFlOG9uejVfODA?oc=5,targeted news query,Low,inference,"Fri, 12 Apr 2019"
Lambeth Family Office Llc,SEC CIK registry (entity names),Unconfirmed,SEC-registered operating entity (CIK 0001797331) with verified filing address/phone; single- vs multi-family split unproven,,"PO BOX 171305, SALT LAKE CITY, UT, 84117",,,,25,Qualified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(801) 419-0677,SEC EDGAR submissions CIK 0001797331,official SEC filing (business phone),High,fact,2020-01-08,,,,,,
"Danis Family Office, Llc",SEC CIK registry (entity names),Unconfirmed,SEC-registered operating entity (CIK 0001559152) with verified filing address/phone; single- vs multi-family split unproven,,"112 WAMPHASSUC RD, STONINGTON, CT, 06378",,,,25,Qualified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860-535-4802,SEC EDGAR submissions CIK 0001559152,official SEC filing (business phone),High,fact,2013-09-19,,,,,,
Duncan Family Office,SEC CIK registry (entity names),Unconfirmed,SEC-registered operating entity (CIK 0001549437) with verified filing address/phone; single- vs multi-family split unproven,,"1100 Louisiana, 18th Floor, Houston, TX, 77002",,"Fri, 28 Mar 2025",news,25,Qualified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lilo Waechter Duncan - Elizabethton Star,https://news.google.com/rss/articles/CBMiaEFVX3lxTFBvMXFOWFZBOVZFam5QUWtNZm83QUw3aEFucE41RldPbmNJRWIyTW5vM25xeElFX1V4UmlmdVExVFlYX3RWaElKY0xzdXlCTFdtMUVKall4VlNfcUtmekpvU3U4YVIwbFVY?oc=5,targeted news query,Low,inference,"Fri, 28 Mar 2025"
Justice Family Office Llc,SEC CIK registry (entity names),Unconfirmed,SEC-registered operating entity (CIK 0001773760) with verified filing address/phone; single- vs multi-family split unproven,,"8712 LONGVIEW CLUB DRIVE, WAXHAW, NC, 288173",,,,25,Qualified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864-346-4560,SEC EDGAR submissions CIK 0001773760,official SEC filing (business phone),High,fact,2020-03-03,,,,,,
"Looper Family Office, Llc",SEC CIK registry (entity names),Unconfirmed,SEC-registered operating entity (CIK 0002014891) with verified filing address/phone; single- vs multi-family split unproven,,"2000 BERING DR SUITE 875, HOUSTON, TX, 77057",,,,25,Qualified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2142262606,SEC EDGAR submissions CIK 0002014891,official SEC filing (business phone),High,fact,2024-03-11,,,,,,
Qvt Family Office Offshore Lp,SEC CIK registry (entity names),Unconfirmed,SEC-registered operating entity (CIK 0001735765) with verified filing address/phone; single- vs multi-family split unproven,,"INTERTRUST CORPORATE SERVICES (CAYMAN), LTD., 190 ELGIN AVENUE, GEORGE TOWN, GRAND CAYMAN, E9, KY1-9005",,,,25,Qualified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345-943-3100,SEC EDGAR submissions CIK 0001735765,official SEC filing (business phone),High,fact,2026-04-14,,,,,,
Qvt Family Office Onshore Lp,SEC CIK registry (entity names),Unconfirmed,SEC-registered operating entity (CIK 0001736966) with verified filing address/phone; single- vs multi-family split unproven,,"1177 AVENUE OF THE AMERICAS, 9TH FLOOR, NEW YORK, NY, 10036",,,,25,Qualified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212-705-8888,SEC EDGAR submissions CIK 0001736966,official SEC filing (business phone),High,fact,2026-04-14,,,,,,
St Louis Family Office Inc,SEC CIK registry (entity names),Unconfirmed,SEC-registered operating entity (CIK 0001185043) with verified filing address/phone; single- vs multi-family split unproven,,"101 S HANLEY ROAD, SUITE 1085, ST LOUIS, MO, 63105",,,,25,Qualified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3147274600,SEC EDGAR submissions CIK 0001185043,official SEC filing (business phone),High,fact,2002-08-29,,,,,,
Ubs Cold Storage Family Office International Investors Lp,SEC CIK registry (entity names),MFO,"bank/wirehouse-affiliated SEC-registered family office (CIK 0001943867, verified filing address/phone)",,"C/O UBS REALTY INVESTORS LLC, 10 STATE HOUSE SQUARE, 15TH FLOOR, HARTFORD, CT, 06103",,,,25,Qualified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860-616-9000,SEC EDGAR submissions CIK 0001943867,official SEC filing (business phone),High,fact,2022-11-08,,,,,,
